Visit Number ,Positive culture,sex,Age ,BW,Color,Clarity ,USG,ph,Protein,Glucose,Ketones,Bilirubin,Hemoprotein,Lipid Layer,WBC,RBC
8860CK,1,4,16.4,4.2,Straw,Cloudy,1.011,6,25,0,0,0,50,Negative,3,2
8861CK,0,2,10.6,5,Straw,Cloudy,1.016,7,0,1000,0,0,10,Pos,3,18
9004CK,0,4,15.4,4,Yellow,Hazy,1.01,6,25,0,0,0,250,Negative,3,100
9129CK,0,2,17.1,4.2,Yellow,SLHazy,1.037,6,75,1000,0,0,10,Pos,3,5
9130CK,1,4,13.8,3.5,Yellow,SLHazy,1.014,6,75,0,0,0,250,Pos,20,100
9173CK,0,2,4,5.5,Yellow,Cloudy,1.024,6,25,0,0,0,10,Pos,3,2
9383CK,0,4,9,4.9,Amber,Cloudy,1.047,7,75,0,0,6,10,Floc,3,5
9434CK,0,4,15.9,3.5,Yellow,Hazy,1.013,5,0,0,0,0,0,Pos,3,1
70809EM,0,2,11.1,5.2,Yellow,Hazy,1.058,6,75,0,0,3,250,Pos,3,50
9657CK,0,2,15.2,3.5,Amber,Cloudy,1.009,5,75,0,0,0,250,Negative,3,100
235CL,0,4,9.8,2.8,Yellow,SLHazy,1.028,7,25,0,0,0,0,Pos,3,2
331CL,0,4,15.2,,Straw,Clear,1.013,5,0,0,0,0,0,Pos,3,5
396CL,0,4,11.2,3.5,Other;PINK,Cloudy,1.016,6,150,0,0,0,250,Pos,3,100
563CL,1,4,17,3.1,Straw,Hazy,1.012,6,75,0,0,0,250,Pos,10,24
647CL,0,2,15.2,4.7,Yellow,SLHazy,1.034,5,25,1000,0,0,250,Negative,10,24
963CL,0,4,14.2,2.3,Yellow,SLHazy,1.015,6,25,0,0,0,150,Pos,3,2
1329CL,0,2,10.2,8.9,Yellow,Hazy,1.028,7,25,0,0,0,250,Pos,3,100
1356CL,0,4,9.2,5.5,Amber,Hazy,1.028,6,75,100,0,3,250,Pos,3,2
1813CL,0,4,13.1,2.5,Yellow,SLHazy,1.011,6,75,0,0,0,150,Pos,3,8
1854CL,0,2,12.9,5,Yellow,SLHazy,1.016,6,0,0,0,0,0,Pos,3,2
1898CL,0,4,19.2,4.5,Other;COLORLESS,SLHazy,1.007,7,25,0,0,0,250,Pos,3,50
2128CL,0,2,9.2,4.3,Straw,SLHazy,1.009,6,75,0,0,0,250,Pos,3,5
2168CL,0,2,14,5.1,Yellow,Cloudy,1.032,6,25,0,0,0,250,Floc,3,100
70936EM,0,4,9.2,6.5,Straw,SLHazy,1.009,7,0,0,0,0,50,Negative,3,1
2420CL,0,4,15.9,3.7,Straw,SLHazy,1.013,6,0,0,0,0,0,Negative,3,0
2828CL,0,4,15.2,4.3,Straw,Clear,1.012,5,0,0,0,0,0,Negative,3,0
3029CL,0,4,12.2,4.1,Yellow,SLHazy,1.021,7,0,0,0,0,50,Pos,3,12
3131CL,1,4,15.9,3,Other;LIGHT PEACH,SLHazy,1.021,6,0,0,0,0,0,Pos,3,2
3296CL,0,4,5.2,3.8,Straw,SLHazy,1.009,6,0,0,0,0,0,Pos,3,1
71012EM,0,2,7.8,6.6,Other;PEACH,Cloudy,1.037,7,150,0,0,0,250,Pos,10,100
3352CL,0,2,20.2,3.9,Straw,Clear,1.011,6,25,100,0,0,250,Negative,3,8
3402CL,0,4,13.7,2.4,Straw,SLHazy,1.009,6,0,0,0,0,150,Pos,3,5
3403CL,0,4,14.3,4.6,Yellow,Hazy,1.014,5,0,0,0,0,0,Pos,3,0
3592CL,1,4,16.1,3.4,Straw,SLHazy,1.011,5,0,0,0,0,0,Pos,50,0
4140CL,0,4,13.1,6.2,Yellow,SLHazy,1.015,6,25,0,0,0,10,Floc,3,0
4144CL,0,4,8.7,4.6,Colorless,SLHazy,1.01,5,25,0,0,0,0,Pos,3,0
4509CL,1,4,13.9,3.7,Straw,Cloudy,1.017,6,25,0,0,0,150,Negative,100,5
4749CL,0,2,13.3,3.1,Straw,Clear,1.026,7,25,0,0,0,50,Negative,3,18
4865CL,0,4,11.9,6.6,Straw,Clear,1.01,6,0,0,0,0,10,Negative,3,2
4865CL,0,4,11.9,6.6,Straw,Clear,1.01,6,0,0,0,0,10,Negative,3,2
4865CL,0,4,11.9,6.6,Straw,Clear,1.01,6,0,0,0,0,10,Negative,3,2
4869CL,1,2,6.3,4.6,Red,Opaque,1.038,7,500,0,0,0,250,Pos,3,100
4879CL,0,2,0,9.4,Yellow,SLHazy,1.054,7,75,0,0,0,250,Negative,20,24
4885CL,0,4,16.3,2.8,Straw,SLHazy,1.009,6,25,300,0,0,150,Pos,3,8
4945CL,0,4,19.4,2.2,Straw,SLHazy,1.011,7,25,50,0,0,10,Negative,3,0
4973CL,0,2,4.3,4.4,Straw,Hazy,1.013,5,75,300,0,0,250,Negative,3,0
4973CL,0,2,4.3,4.4,Straw,SLHazy,1.016,7,25,1000,0,0,10,Pos,3,1
4973CL,0,2,4.3,4.4,Straw,Hazy,1.013,5,75,300,0,0,250,Negative,3,0
4973CL,0,2,4.3,4.4,Straw,SLHazy,1.016,7,25,1000,0,0,10,Pos,3,1
4981CL,0,4,12.3,3,Yellow,SLHazy,1.014,5,0,0,0,0,10,Negative,3,0
5175CL,1,4,18.9,3.1,Yellow,Hazy,1.01,6,25,0,0,0,250,Negative,100,18
5189CL,0,4,16,3.6,Straw,Clear,1.007,5,0,0,0,0,50,Pos,3,5
71133EM,1,4,10,5.4,Yellow,Hazy,1.027,8,0,1000,0,0,250,Pos,100,50
5639CL,1,2,15.3,5.8,Yellow,Hazy,1.01,6,75,0,0,0,250,Negative,3,12
71147EM,1,4,10.3,3.4,Straw,Hazy,1.02,7,25,50,0,0,50,Negative,10,5
71173EM,0,2,5.3,7.5,Yellow,SLHazy,1.041,7,75,1000,0,0,0,Negative,3,0
5989CL,0,4,15.6,5.2,Straw,Hazy,1.015,6,0,0,0,0,250,Pos,3,24
6064CL,0,2,11,5.4,Yellow,Hazy,1.028,5,25,0,0,0,0,Pos,10,1
6298CL,0,4,15.3,3.4,Yellow,Hazy,1.016,5,25,0,0,0,10,Pos,3,5
6343CL,0,2,11,3,Straw,Clear,1.007,6,25,0,0,0,250,Negative,3,0
6543CL,0,2,9.5,3.7,Yellow,SLHazy,1.034,7,25,0,0,0,250,Negative,10,100
6595CL,0,2,7.3,7.7,Yellow,Cloudy,1.043,8,150,0,0,0,250,Negative,10,100
6666CL,0,2,14.3,4.3,Straw,Clear,1.011,5,0,50,0,0,0,Negative,3,2
6677CL,0,2,16.3,7.6,Amber,SLHazy,1.032,7,75,0,0,6,10,Negative,10,50
6769CL,0,4,13.3,6,Yellow,Hazy,1.034,6,25,0,0,0,0,Pos,3,0
7098CL,0,2,2,5,Yellow,Hazy,1.033,7,25,0,0,0,250,Pos,3,100
7186CL,0,4,13.3,5.9,Yellow,SLHazy,1.05,7,25,0,0,0,0,Pos,3,0
7270CL,0,2,17.3,3.7,Straw,SLHazy,1.013,6,25,300,0,0,250,Negative,3,100
7476CL,0,4,12.3,7.4,Yellow,Hazy,1.046,7,25,0,0,0,0,Pos,3,0
7532CL,0,2,4.3,6.6,Yellow,Hazy,1.062,7,150,0,0,0,250,Pos,3,100
7650CL,0,2,7.3,4.9,Yellow,Hazy,1.052,6,75,0,0,3,10,Pos,3,2
8129CL,0,2,13,3.5,Yellow,Cloudy,1.02,7,75,300,5,0,250,Pos,3,2
8453CL,0,2,9.9,3.5,Straw,SLHazy,1.013,7,0,0,0,0,0,Pos,3,0
71329EM,0,2,15,,Straw,Clear,1.011,5,75,0,0,0,150,Pos,3,5
8621CL,0,4,9.8,5.8,Yellow,Hazy,1.055,7,25,0,0,0,50,Pos,3,50
8746CL,0,2,1.3,2.2,Amber,Hazy,1.05,7,75,0,0,6,250,Negative,10,100
8753CL,0,2,11.3,4.5,Straw,Clear,1.009,5,25,0,0,0,10,Negative,3,0
8763CL,1,4,13.6,4.2,Amber,Opaque,1.022,7,500,0,0,3,250,Negative,100,100
8968CL,1,4,8.4,3.4,Yellow,SLHazy,1.013,6,75,0,0,0,250,Negative,3,50
9002CL,1,4,15.3,2.8,Yellow,SLHazy,1.01,6,25,50,0,0,250,Negative,20,5
9645CL,0,4,12.1,4.3,Yellow,Hazy,1.027,6,25,0,0,0,50,Pos,3,8
9978CL,1,4,7.4,4.7,Straw,SLHazy,1.011,5,0,0,0,0,150,Negative,10,8
75CM,1,2,16,4,Yellow,SLHazy,1.01,6,25,0,0,0,250,Negative,3,5
79CM,0,4,16.9,,Straw,Hazy,1.014,6,0,0,0,0,250,Negative,3,18
401CM,0,2,3.8,4.9,Straw,SLHazy,1.015,7,0,50,0,0,0,Negative,3,2
458CM,0,3,17.7,3.3,Straw,SLHazy,1.012,6,0,0,0,0,0,Pos,3,0
657CM,0,4,1.5,5,Other;PINK,Cloudy,1.023,7,75,1000,0,0,250,Negative,3,100
71446EM,0,2,4.4,5.1,Yellow,Hazy,1.013,7,0,0,0,0,250,Pos,3,100
71446EM,0,2,4.4,5.1,Yellow,Hazy,1.014,6,0,0,0,0,0,Pos,3,0
822CM,0,2,4,5.1,Red,Opaque,1.031,7,150,100,0,0,250,Negative,3,100
1276CM,1,4,16.1,3.4,Straw,Cloudy,1.011,7,150,0,0,0,250,Pos,100,100
1329CM,0,2,9.4,7.2,Straw,SLHazy,1.009,6,75,0,0,0,50,Pos,3,12
1329CM,1,2,9.4,7.2,Straw,SLHazy,1.009,6,75,0,0,0,50,Pos,3,12
1329CM,1,2,9.4,7.2,Straw,SLHazy,1.009,6,75,0,0,0,50,Pos,3,12
2084CM,0,4,19.4,3.1,Yellow,Hazy,1.012,6,25,0,0,0,10,Negative,3,2
71550EM,1,4,14.1,3.4,Yellow,SLHazy,1.012,6,0,50,0,0,50,Pos,100,12
2413CM,0,4,6.1,2.3,Yellow,Cloudy,1.052,7,25,0,0,0,0,Pos,3,1
71589EM,0,2,14,3.6,Yellow,Clear,1.015,6,0,0,0,0,150,Negative,3,50
2665CM,0,2,10.9,5,Yellow,SLHazy,1.009,5,0,0,0,0,50,Pos,3,2
2701CM,0,4,8.4,3.5,Yellow,Hazy,1.015,5,25,0,0,0,250,Negative,3,100
71611EM,1,4,12.4,4,Yellow,Cloudy,1.022,7,150,0,0,0,250,Pos,100,100
3017CM,0,2,14.4,,Yellow,SLHazy,1.015,6,0,0,0,0,0,Pos,3,1
3281CM,0,4,7,6.6,Straw,SLHazy,1.005,7,0,0,0,0,250,Pos,3,100
3385CM,0,2,17.3,3.3,Yellow,SLHazy,1.013,6,0,0,0,0,10,Pos,3,24
3446CM,0,4,9.4,3.1,Yellow,Cloudy,1.013,5,0,0,0,0,10,Pos,3,1
3718CM,0,4,9.5,4.8,Yellow,Hazy,1.01,7,25,0,0,0,250,Pos,3,100
3718CM,0,4,9.5,4.8,Yellow,Hazy,1.01,7,25,0,0,0,250,Pos,3,100
3718CM,0,4,9.5,4.8,Yellow,Hazy,1.01,7,25,0,0,0,250,Pos,3,100
3965CM,1,4,7.9,2.6,Amber,Cloudy,1.017,6,500,0,0,0,250,Negative,20,100
3973CM,0,4,16.2,3.7,Straw,Cloudy,1.015,7,25,0,0,0,250,Pos,20,100
4024CM,1,4,16.2,,Yellow,SLHazy,1.013,6,0,0,0,0,10,Negative,3,0
4126CM,0,4,1.7,3.4,Yellow,Hazy,1.015,6,0,0,0,0,250,Pos,3,50
4325CM,0,4,9.4,8,Yellow,SLHazy,1.032,7,25,0,0,0,10,Pos,10,50
4346CM,0,4,16.5,2.8,Yellow,Hazy,1.014,5,0,0,0,0,150,Pos,3,8
4348CM,0,4,11.1,5.5,Straw,SLHazy,1.018,7,25,0,0,0,0,Pos,3,5
71688EM,0,4,12.5,,Straw,Hazy,1.021,6,25,0,0,0,250,Pos,100,100
4919CM,0,2,17.3,3.2,Yellow,Hazy,1.011,8,25,0,0,0,250,Pos,20,100
4962CM,1,4,16.3,3.4,Straw,Hazy,1.012,5,0,0,0,0,10,Pos,50,5
4970CM,0,4,10,5.1,Yellow,Cloudy,1.04,6,75,0,0,0,250,Floc,3,50
4994CM,0,2,11.1,4.4,Yellow,SLHazy,1.045,7,25,0,0,0,10,Pos,3,8
5015CM,0,4,14.5,2.8,Yellow,Hazy,1.01,5,75,0,0,0,250,Negative,3,100
5029CM,0,2,1.9,3.7,Straw,Clear,1.008,6,0,100,0,0,0,Negative,3,0
5029CM,0,2,1.9,3.7,Other;PINK,Cloudy,1.01,8,75,100,0,0,250,Negative,3,100
5029CM,0,2,1.9,3.7,Straw,Clear,1.008,6,0,100,0,0,0,Negative,3,0
5029CM,0,2,1.9,3.7,Other;PINK,Cloudy,1.01,8,75,100,0,0,250,Negative,3,100
5029CM,0,2,1.9,3.7,Straw,Clear,1.008,6,0,100,0,0,0,Negative,3,0
5029CM,0,2,1.9,3.7,Other;PINK,Cloudy,1.01,8,75,100,0,0,250,Negative,3,100
5194CM,0,2,2,3.6,Yellow,Hazy,1.017,8,25,0,0,0,50,Pos,3,5
5734CM,0,2,10.5,5,Straw,SLHazy,1.007,7,0,0,0,0,50,Negative,3,8
5741CM,0,4,9.5,4.5,Other;PINK,Cloudy,1.018,6,150,0,0,0,250,Negative,3,100
5767CM,0,4,19.1,4.6,Straw,Hazy,1.012,5,0,0,0,0,250,Negative,3,18
5953CM,0,2,11.1,4.7,Yellow,Cloudy,1.041,7,25,0,0,0,0,Pos,3,0
6186CM,0,2,2.8,5.8,Yellow,SLHazy,1.046,7,25,0,0,0,10,Pos,3,5
71808EM,0,2,5.7,6.7,Yellow,Clear,1.054,7,25,1000,0,0,150,Negative,3,12
6310CM,0,2,16,3.5,Yellow,Hazy,1.013,5,0,0,0,0,0,Pos,3,0
6385CM,0,4,4.5,4.6,Straw,Hazy,1.01,5,25,0,0,0,50,Negative,10,2
6385CM,0,4,4.5,4.6,Straw,Hazy,1.01,5,25,0,0,0,50,Negative,10,2
6385CM,0,4,4.5,4.6,Straw,Hazy,1.01,5,25,0,0,0,50,Negative,10,2
6753CM,1,4,5.8,4.7,Yellow,Cloudy,1.045,6,75,0,0,0,250,Pos,20,100
6767CM,1,4,16.2,4,Straw,SLHazy,1.008,5,0,0,0,0,150,Pos,20,5
6960CM,0,4,17.5,6.6,Straw,SLHazy,1.01,6,0,50,0,0,0,Pos,3,0
7059CM,0,2,10.1,4.6,Yellow,SLHazy,1.057,7,25,0,0,0,0,Pos,3,0
7458CM,0,4,9,3.5,Yellow,Clear,1.017,6,0,0,0,0,0,Pos,3,1
7486CM,1,4,13.5,5,Yellow,Cloudy,1.03,6,75,0,0,0,250,Pos,100,100
7498CM,0,4,0,3.9,Yellow,SLHazy,1.017,5,75,0,0,0,250,Pos,3,18
7688CM,0,2,17.5,7.2,Straw,Hazy,1.013,6,25,0,0,0,250,Negative,3,100
7882CM,0,2,3.5,7.2,Yellow,SLHazy,1.05,6,25,0,0,0,0,Pos,3,0
7889CM,0,4,15.8,3.9,Yellow;SLIGHTLY RED,Hazy,1.008,5,25,0,0,0,250,Pos,3,100
8082CM,0,4,14.5,3.8,Yellow,SLHazy,1.014,7,75,0,0,0,10,Pos,3,5
8089CM,0,1,0.2,0.75,Yellow,SLHazy,1.013,6,75,0,0,0,250,Negative,10,8
8140CM,0,2,15.5,4.5,Straw,Hazy,1.007,8,0,50,0,0,250,Negative,3,100
8311CM,1,2,6.5,5.7,Red,Opaque,1.019,8,150,0,0,0,250,Negative,10,100
8327CM,0,4,10.5,,Yellow,Hazy,1.038,9,25,0,0,0,250,Pos,3,100
8337CM,0,1,8.5,6.2,Yellow,Cloudy,1.035,8,75,0,0,0,250,Pos,3,100
8347CM,0,2,0,6.1,Yellow,Hazy,1.024,7,150,50,0,0,250,Pos,20,100
8531CM,0,2,3.4,6.3,Yellow,Hazy,1.044,6,25,0,0,0,10,Pos,3,5
8753CM,1,4,14.9,,Yellow,Hazy,1.025,6,25,0,0,0,250,Pos,20,50
8925CM,0,1,2.5,3.6,Yellow,Hazy,1.047,7,75,0,0,0,250,Pos,3,100
9048CM,1,4,16.4,3.4,Straw,Hazy,1.011,6,0,0,0,0,10,Pos,100,8
71996EM,1,4,19.6,3.7,Red,Hazy,1.011,6,75,0,0,0,250,Negative,100,100
9581CM,1,4,8.6,3.8,Yellow,SLHazy,1.036,6,0,0,0,0,10,Pos,50,1
9659CM,0,4,10.3,2.7,Straw,Hazy,1.02,5,0,1000,0,0,250,Negative,3,100
9729CM,0,2,12.8,4.9,Yellow,SLHazy,1.026,6,0,1000,0,0,10,Pos,3,8
9749CM,0,2,8,4.9,Yellow,Hazy,1.036,7,75,0,0,3,0,Pos,3,5
9950CM,0,4,4.9,2.9,Yellow,SLHazy,1.027,6,0,0,0,0,0,Pos,3,0
9990CM,0,4,18.6,2.9,Yellow,Clear,1.013,5,0,0,0,0,0,Negative,3,0
72043EM,0,2,15.6,4.7,Yellow,SLHazy,1.01,6,25,0,0,0,50,Pos,10,18
234CN,0,4,3.5,3.3,Yellow,Cloudy,1.019,7,0,0,0,0,0,Pos,3,0
253CN,0,4,3.6,4.4,Yellow,Cloudy,1.039,6,75,0,0,0,250,Pos,3,100
333CN,0,4,17.1,4.1,Yellow,SLHazy,1.01,6,0,0,0,0,250,Pos,3,50
625CN,0,4,10,3,Yellow,Hazy,1.032,6,25,0,0,0,50,Pos,3,8
712CN,0,2,3.6,6,Yellow,SLHazy,1.01,6,0,0,0,0,250,Negative,3,100
1247CN,0,4,4.6,4,Yellow,Cloudy,1.014,5,0,0,0,0,10,Negative,3,0
72095EM,0,2,8.2,6.5,Straw,Hazy,1.019,5,75,0,0,0,250,Pos,3,18
72095EM,0,2,8.2,6.5,Straw,Hazy,1.019,5,75,0,0,0,250,Pos,3,18
1374CN,0,4,16.6,2.8,Straw,Cloudy,1.014,5,25,0,0,0,250,Negative,3,100
1448CN,0,4,17.6,2.3,Yellow,Hazy,1.016,5,25,0,0,0,0,Negative,3,0
1465CN,1,2,8.6,9.7,Yellow;SLIGHTLY RED,Hazy,1.009,7,25,0,0,0,250,Negative,3,100
1465CN,1,2,8.6,9.7,Straw,SLHazy,1.007,6,0,0,0,0,250,Pos,3,8
1465CN,0,2,8.6,9.7,Yellow;SLIGHTLY RED,Hazy,1.009,7,25,0,0,0,250,Negative,3,100
1465CN,0,2,8.6,9.7,Straw,SLHazy,1.007,6,0,0,0,0,250,Pos,3,8
1472CN,1,2,6.6,3.8,Yellow,Cloudy,1.014,6,150,0,0,0,250,Pos,100,12
1530CN,1,2,8,7.8,Straw,Cloudy,1.02,7,25,100,0,0,250,Pos,50,24
1639CN,1,4,17.1,4.1,Yellow,Hazy,1.008,7,150,0,0,0,250,Pos,100,12
1643CN,0,4,7.6,3.7,Yellow,Hazy,1.031,7,75,100,0,0,250,Pos,10,100
1770CN,0,2,6.6,7.8,Red,Opaque,1.013,8,150,50,0,0,250,Pos,3,100
1770CN,0,2,6.6,7.8,RED,OPAQUE,1.011,8,500,50,0,0,250,Present,3,100
1806CN,0,4,17.6,4.4,Yellow,SLHazy,1.012,6,0,0,0,0,250,Negative,3,50
1883CN,0,4,14.4,3.1,Yellow,Hazy,1.051,7,75,0,0,0,10,Floc,3,0
72119EM,0,2,14.6,4.1,Yellow,SLHazy,1.011,7,0,0,0,0,10,Pos,3,5
72131EM,0,2,10.6,5.4,Yellow,Hazy,1.014,6,75,0,0,0,250,Pos,3,100
72131EM,0,2,10.6,5.4,Yellow,Hazy,1.014,6,75,0,0,0,250,Pos,3,100
72131EM,0,2,10.6,5.4,Yellow,Hazy,1.014,6,75,0,0,0,250,Pos,3,100
72131EM,0,2,10.6,5.4,Yellow,Hazy,1.014,6,75,0,0,0,250,Pos,3,100
72133EM,0,4,12.6,,Yellow,SLHazy,1.033,6,0,0,0,0,10,Pos,3,8
72136EM,0,2,3.6,4.6,Yellow,SLHazy,1.031,7,0,0,0,0,10,Pos,3,5
72137EM,0,4,15.6,3.9,Other;LIGHT PEACH,SLHazy,1.005,7,25,0,0,0,250,Pos,3,50
2117CN,0,2,15.6,4.3,Yellow,SLHazy,1.011,5,25,0,0,0,250,Pos,3,24
2235CN,0,4,11,2.9,Yellow,Cloudy,1.04,7,75,0,0,0,10,Floc,3,0
72149EM,1,2,9.1,6.9,Yellow,Hazy,1.033,6,150,0,0,0,250,Pos,100,100
2531CN,0,2,7,8,Red,Cloudy,1.012,7,150,0,0,0,250,Negative,20,100
2666CN,1,4,16.6,5,Yellow,Hazy,1.024,5,0,1000,0,0,150,Pos,20,2
2947CN,0,2,0,4.5,Yellow,Cloudy,1.044,7,500,0,0,0,250,Pos,10,100
72189EM,0,2,13.8,7.1,Straw,Hazy,1.014,6,75,0,0,0,250,Negative,10,50
3547CN,0,2,2.9,5.1,Yellow,Cloudy,1.054,7,75,0,0,3,50,Floc,100,5
4264CN,0,2,15.7,4.3,Other;PEACH,Hazy,1.012,6,75,0,0,0,250,Pos,3,100
4476CN,0,2,8.7,7.4,Yellow,Hazy,1.015,6,75,0,0,0,250,Floc,3,8
4555CN,0,2,7.5,3.9,Yellow,SLHazy,1.022,6,25,0,0,0,10,Pos,3,2
4587CN,0,2,8.2,6.3,Red,Cloudy,1.021,6,75,0,0,0,250,Pos,3,100
4664CN,0,2,8.2,7.7,Amber,Cloudy,1.046,7,150,50,0,0,250,Pos,3,100
4664CN,0,2,8.2,7.7,Amber,Cloudy,1.046,7,150,50,0,0,250,Pos,3,100
4936CN,1,4,16.4,4.1,Straw,Cloudy,1.008,6,25,0,0,0,50,Pos,100,5
4937CN,1,4,16.4,3.5,Straw,Cloudy,1.014,5,0,0,0,0,10,Negative,10,0
4938CN,1,4,16.4,3.4,Yellow,Hazy,1.011,7,0,0,0,0,10,Pos,50,5
5234CN,0,2,12.9,5.8,Straw,Hazy,1.019,5,25,0,0,0,50,Pos,3,2
5257CN,0,2,17.5,3.1,Straw,Hazy,1.014,7,0,0,0,0,250,Pos,3,100
5501CN,0,4,14.7,3.4,Yellow,SLHazy,1.016,5,0,0,0,0,10,Pos,3,5
5541CN,0,4,12.1,3.3,Yellow,Hazy,1.04,6,75,0,0,0,150,Pos,3,8
5762CN,0,2,1.5,4.5,Yellow,SLHazy,1.058,7,0,1000,0,0,0,Negative,3,0
5767CN,1,2,9.7,6.6,Yellow,Cloudy,1.013,6,75,0,0,0,250,Negative,50,5
6010CN,0,2,3,3.6,Yellow,Cloudy,1.053,6,75,0,0,3,10,Floc,3,0
6130CN,0,4,11.7,2.6,Yellow,Cloudy,1.035,8,0,0,0,0,250,Pos,3,100
72354EM,0,2,0,7.4,Straw,Hazy,1.011,6,25,0,0,0,10,Pos,3,5
6236CN,0,4,9.4,3.2,Yellow,Hazy,1.021,7,150,0,0,0,50,Pos,3,8
72373EM,0,2,7.7,5.3,Other,Hazy,1.039,7,500,0,0,0,250,Pos,3,100
6677CN,0,2,16.7,4.9,Yellow,Clear,1.013,5,0,0,0,0,0,Pos,3,0
7020CN,0,4,15.7,3.8,Yellow,SLHazy,1.01,6,0,0,0,0,10,Pos,3,5
72411EM,0,2,7.7,6.3,Yellow,Cloudy,1.028,6,75,300,0,0,250,Pos,3,100
6629CN,0,4,17.7,5.8,Yellow,Clear,1.009,6,0,50,0,0,10,Pos,3,5
72417EM,1,2,8.7,5.6,Yellow,Hazy,1.039,7,150,0,0,0,250,Pos,3,100
7366CN,0,4,9.7,5,Amber,SLHazy,1.044,7,25,1000,0,6,0,Pos,3,0
7369CN,0,2,6.7,4.8,Yellow;BLOOD TINGED,Cloudy,1.048,7,150,0,0,0,250,Pos,10,100
7858CN,1,2,5.3,7.1,Yellow,SLHazy,1.012,6,0,0,0,0,10,Pos,3,0
7975CN,0,4,12.7,3.8,Yellow,Hazy,1.049,8,75,0,0,0,250,Pos,3,100
8022CN,0,4,4.2,5.9,Yellow,Cloudy,1.028,7,75,0,0,0,150,Pos,3,50
8046CN,0,2,12.9,3.8,Straw,SLHazy,1.008,8,0,1000,0,0,50,Pos,3,2
8064CN,0,2,0,4.8,Straw,SLHazy,1.007,7,0,0,0,0,0,Pos,3,0
8214CN,1,2,14,4.1,Yellow,Cloudy,1.01,8,75,0,0,0,250,Negative,10,24
8231CN,0,2,6.7,3.7,Yellow,Hazy,1.014,5,25,0,0,0,250,Pos,3,18
8272CN,0,4,4.2,2.8,Straw,Clear,1.011,5,0,0,0,0,250,Negative,3,24
8272CN,0,4,4.2,2.8,Straw,Clear,1.011,5,0,0,0,0,250,Negative,3,24
8272CN,0,4,4.2,2.8,Straw,Clear,1.011,5,0,0,0,0,250,Negative,3,24
8272CN,0,4,4.2,2.8,Straw,Clear,1.011,5,0,0,0,0,250,Negative,3,24
8273CN,0,2,1.5,5.8,Red,Opaque,1.045,8,150,0,0,0,250,Negative,10,100
8391CN,0,4,12.7,7.8,Straw,SLHazy,1.01,6,0,0,0,0,250,Negative,3,24
8407CN,0,2,13.7,7.3,Yellow,Hazy,1.037,7,75,0,0,0,250,Pos,3,100
72499EM,0,2,12.2,3,Yellow,Cloudy,1.043,7,75,0,0,3,0,Pos,3,1
8444CN,0,2,14.7,6.9,Yellow,SLHazy,1.011,5,0,0,0,0,10,Pos,3,5
8487CN,0,4,14.7,3.6,Yellow,Hazy,1.049,6,25,100,0,0,0,Pos,3,2
8528CN,0,2,5.7,6.2,Yellow,Hazy,1.051,6,25,0,0,0,0,Pos,3,0
8596CN,1,1,0.2,2.6,Yellow,Hazy,1.043,6,75,0,0,0,50,Negative,100,50
8639CN,0,4,4,3.5,Straw,Clear,1.009,5,150,0,0,0,250,Negative,10,8
8809CN,1,4,6.5,5.2,Yellow,Hazy,1.016,6,150,0,0,0,250,Negative,100,100
9008CN,1,3,13.8,5.1,Yellow,Clear,1.012,8,0,0,0,0,250,Negative,20,50
9321CN,0,4,18.8,2.1,Yellow,Cloudy,1.017,5,150,0,0,0,250,Negative,3,100
9435CN,0,4,16.8,4.7,Yellow,SLHazy,1.019,6,25,0,0,0,0,Pos,20,5
9529CN,1,3,0.8,,Red,Opaque,1.035,7,150,0,0,0,250,Negative,100,24
9591CN,0,2,19,3.6,Straw,Clear,1.012,6,25,0,0,0,150,Negative,3,8
9594CN,0,2,8.8,3.2,Straw,Hazy,1.012,6,150,50,0,0,250,Pos,3,24
80CO,0,2,9.5,7.3,Yellow,Clear,1.009,8,25,0,0,0,0,Pos,3,1
207CO,1,2,15.8,6,Straw,SLHazy,1.012,5,75,0,0,0,250,Negative,3,8
228CO,1,4,14.8,2.8,Yellow,Hazy,1.014,7,25,0,0,0,250,Pos,50,18
617CO,0,2,10.8,4.4,Red,Opaque,1.027,7,150,0,0,0,250,Pos,3,100
626CO,0,2,13.8,4.7,Yellow;SLIGHTLY RED,Hazy,1.021,7,75,0,0,0,250,Pos,20,100
728CO,0,4,13.2,4.5,Straw,Clear,1.009,7,25,0,0,0,50,Pos,3,5
749CO,0,2,16.8,3.9,Straw,Hazy,1.017,6,25,1000,0,0,250,Pos,3,50
1061CO,0,2,5.8,8.1,Yellow,SLHazy,1.029,7,0,1000,0,0,0,Pos,3,2
72626EM,0,2,6,7,Yellow,Clear,1.012,7,0,1000,0,0,0,Pos,3,0
1775CO,0,2,2.5,5,Yellow,SLHazy,1.039,8,25,0,0,0,0,Pos,3,0
1776CO,1,4,16.5,4.8,Straw,Hazy,1.011,7,25,300,0,0,50,Negative,100,18
1879CO,0,4,10.7,3.1,Yellow,SLHazy,1.015,8,0,1000,0,6,0,Pos,3,0
2060CO,0,2,6.8,3.7,Yellow,SLHazy,1.012,8,75,0,0,0,250,Pos,3,50
2511CO,0,4,4,4.3,Yellow,Cloudy,1.031,7,75,0,0,0,250,Pos,3,100
2842CO,1,4,14.4,6,Yellow,Hazy,1.041,6,25,0,0,0,0,Pos,3,0
